dist_falha_m,k_falha_mD,fator_pressao,prof_injecao_m,P_ini_MPa,pc_ativada,cenario_geomec,coesao_usada_MPa,atrito_usado_graus,pc_entrada_usada_kPa,swirr_usado,sgr_usado,k_selante_mD,pc_selante_MPa,k_FSASP_mD,nx,ny,nz,P_falha_MPa,ano_pico_pressao,P_reativ_MPa,margem_fratura,margem_reativ,reativacao,slip_tendency,P_reativ_slip_MPa,reativacao_slip,S_selante,S_falha_selo,S_FSASP,S_falha,massa_CO2_kg,vazao_media_CO2_kg_dia,injetividade_kg_dia_MPa,risco
1100.0,100.0,1.05,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,34.883,13,51.2,26.477,16.316,false,0.168,80.039,false,0.0,0.0,0.0,0.6328,1.373352232778855e7,1881.3044284641846,1133.3585827306713,MEDIO
1100.0,100.0,1.05,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,34.897,14,53.876,26.463,18.98,false,0.168,83.42,false,0.0,0.0,0.0,0.5824,1.285050526639456e7,1760.3431871773373,1060.4876220738038,MEDIO
1100.0,100.0,1.1,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,36.043,9,38.6,25.317,2.557,false,0.168,64.682,false,0.0,0.5328,0.0,0.6839,2.9933720302666176e7,4100.509630502216,1235.1397554231407,MEDIO
1100.0,100.0,1.1,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,36.043,9,51.2,25.317,15.157,false,0.168,80.039,false,6.0e-6,0.5247,0.0,0.6331,2.9208903658079166e7,4001.219679188926,1205.2320177924764,MEDIO
1100.0,100.0,1.1,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,36.069,9,53.876,25.291,17.808,false,0.168,83.42,false,7.7e-5,0.5116,0.0,0.5822,2.8962404547456797e7,3967.452677733808,1195.060851357845,MEDIO
1100.0,100.0,1.2,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,38.394,6,38.6,22.966,0.206,false,0.168,64.682,false,0.001869,0.594,0.54661,0.6834,7.419924433715199e7,10164.280046185202,1530.8226905395545,ALTO
1100.0,100.0,1.2,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,38.311,6,51.2,23.049,12.889,false,0.168,80.039,false,0.002162,0.571,0.528795,0.633,7.537915904447305e7,10325.912197873022,1555.165798383903,ALTO
1100.0,100.0,1.2,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,38.366,6,53.876,22.994,15.51,false,0.168,83.42,false,0.002462,0.5435,0.507559,0.5825,7.721204862531431e7,10576.992962371822,1592.9805899585444,ALTO
1100.0,1000.0,1.05,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,34.931,11,38.6,26.429,3.668,false,0.168,64.682,false,0.0,0.0,0.0,0.6942,1.6931278969191674e7,2319.353283450914,1397.2533686797196,MEDIO
1100.0,1000.0,1.05,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,34.943,11,51.2,26.417,16.257,false,0.168,80.039,false,0.0,0.0,0.0,0.6352,1.57704960433744e7,2160.341923749918,1301.4597870870164,MEDIO
