BLOCO_TOPO_10M,DEPT_TOPO,VSH,PHIE,KX,KZ,FACIES,COESAO_PESSIMISTA,COESAO_CENTRAL,COESAO_OTIMISTA,ATRITO_PESSIMISTA,ATRITO_CENTRAL,ATRITO_OTIMISTA,MAIOR_LACUNA_NO_BLOCO_M,COBERTURA_REAL,FORMACAO,PC_ENTRADA_PA_PESSIMISTA,SWIRR_PESSIMISTA,SGR_RESIDUAL_PESSIMISTA,PC_ENTRADA_PA_CENTRAL,SWIRR_CENTRAL,SGR_RESIDUAL_CENTRAL,PC_ENTRADA_PA_OTIMISTA,SWIRR_OTIMISTA,SGR_RESIDUAL_OTIMISTA,TEMPERATURA_C,TEMPERATURA_C_PESSIMISTA,TEMPERATURA_C_OTIMISTA,KVKH_FORMACAO_CENTRAL
670.0,670.05,0.8153332279442891,0.0355809290349506,0.0001,3.0000000000000005e-06,0,1000000.0,1801675.8849304211,8000000.0,18.0,19.14525126418632,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,38.060900000000004,36.05075,40.07105,0.1
680.0,680.1,0.8399331227248906,0.0313749200229103,0.0001,3.0000000000000005e-06,0,1000000.0,2157876.3179411963,8000000.0,18.0,19.65410902563028,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,38.2418,36.201499999999996,40.2821,0.1
690.0,690.0,0.7105683374648423,0.0781029277203352,0.0001,3.0000000000000005e-06,0,1000000.0,2887045.2854866097,8000000.0,18.0,20.695778979266585,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,38.42,36.35,40.49,0.1
700.0,700.05,0.8464674552694942,0.0389573836862635,0.0001,3.0000000000000005e-06,0,1000000.0,2345424.034909704,8000000.0,18.0,19.92203433558529,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,38.600899999999996,36.50075,40.701049999999995,0.1
710.0,710.1,0.7893628530862421,0.0589385332431642,0.0001,3.0000000000000005e-06,0,1000000.0,2917572.511720221,8000000.0,18.0,20.73938930245746,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,38.781800000000004,36.6515,40.9121,0.1
720.0,720.0,0.6284826020407417,0.1043148186819779,13.81941776929216,3.589285540937632e-06,0,1328358.208955224,4486819.181575898,9149253.731343284,19.64179104477612,23.571352717493117,29.149253731343283,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,38.96,36.8,41.12,0.1
730.0,730.05,0.6454255481635718,0.0983605691618457,21.009573192922275,4.102040368161332e-06,0,1537313.4328358208,5014035.054630874,9880597.014925374,20.686567164179102,23.68752433138502,29.88059701492537,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,39.1409,36.95075,41.33105,0.1
740.0,740.1,0.807198038858701,0.04892212636375,2.6279815055918263,3.0937499776557734e-06,0,1060606.0606060603,2995386.44027855,8212121.212121212,18.303030303030305,20.93217368064516,28.21212121212121,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,39.3218,37.1015,41.5421,0.1
750.0,750.0,0.6910242710641314,0.087045735859909,0.0001,3.0000000000000005e-06,0,1000000.0,3296271.3527027164,8000000.0,18.0,21.280387646718168,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,39.5,37.25,41.75,0.1
760.0,760.05,0.8300998457532348,0.0375029482282424,0.0001,3.0000000000000005e-06,0,1000000.0,2183381.307029446,8000000.0,18.0,19.690544724327783,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,39.6809,37.40075,41.96105,0.1
